client_id,age,situation_familiale,profession,region,anciennete_mois,produit_principal,niveau_couverture,canal_souscription,prime_mensuelle_eur,nb_sinistres_12m,montant_sinistres_eur,nb_appels_support_12m,nb_avenants_contrat,retard_paiement_nb,score_satisfaction,resiliation_anterieure,date_souscription,date_derniere_interaction,churned
CLT00001,60,En couple,Indépendant,Occitanie,48,Assurance Auto,Essentiel,Courtier,94.62,1,1876.24,0.0,2,0,2.0,0,2022-04-15,2024-03-07,1
CLT00002,24,Célibataire,Salarié,Île-de-France,72,Multirisque Pro,Essentiel,Téléphone,173.95,1,2827.95,0.0,3,0,3.0,0,2022-08-12,2023-04-07,0
CLT00003,70,Veuf/Veuve,Indépendant,Occitanie,132,Multirisque Pro,Premium,Agence,425.66,0,0.0,0.0,3,0,3.0,0,2023-04-05,2024-01-31,0
CLT00004,73,Marié(e),Fonctionnaire,Grand Est,108,Assurance Santé,Essentiel,Web,103.95,1,677.47,0.0,3,0,5.0,0,2022-06-09,2023-01-15,1
CLT00005,23,Célibataire,Fonctionnaire,Grand Est,48,Assurance Santé,Essentiel,Agence,112.12,1,1907.99,2.0,2,0,5.0,0,2022-12-19,2023-09-15,0
CLT00006,27,Veuf/Veuve,Salarié,PACA,72,Assurance Auto,Premium,Téléphone,166.62,0,0.0,4.0,1,0,4.0,1,2023-07-20,2023-12-17,0
CLT00007,36,Célibataire,Indépendant,PACA,96,Multirisque Pro,Confort,Web,293.9,0,0.0,4.0,0,0,4.0,1,2022-10-24,2023-01-13,0
CLT00008,66,Veuf/Veuve,Fonctionnaire,Nouvelle-Aquitaine,108,Assurance Habitation,Essentiel,Téléphone,42.92,0,0.0,0.0,0,0,5.0,0,2022-06-16,2023-06-30,0
CLT00009,38,En couple,Sans emploi,PACA,96,Assurance Santé,Essentiel,Courtier,132.62,1,407.33,0.0,0,1,5.0,0,2022-09-08,2023-02-22,1
CLT00010,44,Marié(e),Salarié,Occitanie,168,Assurance Vie,Confort,Courtier,80.96,1,1985.16,3.0,0,3,4.0,1,2022-08-23,2022-09-24,0
CLT00011,35,En couple,Sans emploi,PACA,84,Assurance Santé,Confort,Courtier,145.18,1,510.49,1.0,2,0,1.0,0,2022-11-19,2023-06-24,0
CLT00012,51,Marié(e),Indépendant,Auvergne-Rhône-Alpes,60,Assurance Vie,Confort,Téléphone,78.73,0,0.0,2.0,3,0,5.0,0,2022-09-10,2024-04-06,0
CLT00013,63,Marié(e),Indépendant,Grand Est,156,Multirisque Pro,Confort,Téléphone,266.97,0,0.0,1.0,3,2,3.0,0,2022-05-22,2023-10-25,0
CLT00014,49,En couple,Indépendant,PACA,108,Assurance Vie,Essentiel,Agence,57.68,0,0.0,0.0,1,0,1.0,0,2023-11-28,2024-03-15,1
CLT00015,48,Veuf/Veuve,Sans emploi,Grand Est,108,Multirisque Pro,Essentiel,Téléphone,203.94,1,954.35,0.0,2,0,3.0,0,2022-09-15,2024-04-03,0
CLT00016,70,Marié(e),Salarié,Nouvelle-Aquitaine,120,Assurance Auto,Premium,Agence,189.9,0,0.0,1.0,0,3,2.0,0,2022-10-28,2024-01-16,0
CLT00017,49,En couple,Sans emploi,Nouvelle-Aquitaine,72,Assurance Habitation,Confort,Agence,54.28,0,0.0,1.0,1,0,2.0,1,2022-04-19,2024-01-19,1
CLT00018,25,Marié(e),Indépendant,Auvergne-Rhône-Alpes,84,Assurance Santé,Premium,Web,267.98,0,0.0,2.0,3,3,4.0,0,2023-07-07,2024-04-03,0
CLT00019,37,Célibataire,Salarié,Hauts-de-France,12,Assurance Auto,Premium,Courtier,144.44,0,0.0,1.0,2,0,4.0,0,2023-01-07,2023-11-17,0
CLT00020,40,Célibataire,Retraité,PACA,48,Assurance Habitation,Essentiel,Web,48.41,0,0.0,1.0,3,1,4.0,0,2022-03-12,2024-04-28,0
CLT00021,71,En couple,Fonctionnaire,Hauts-de-France,84,Multirisque Pro,Essentiel,Web,207.9,1,839.94,0.0,3,0,4.0,0,2023-06-25,2024-04-30,1
CLT00022,33,Veuf/Veuve,Fonctionnaire,Nouvelle-Aquitaine,60,Assurance Vie,Essentiel,Web,69.91,1,1149.28,0.0,3,1,5.0,0,2023-03-25,2024-06-27,0
CLT00023,73,En couple,Salarié,Occitanie,132,Multirisque Pro,Confort,Agence,329.69,1,2073.17,1.0,3,0,2.0,0,2022-12-13,2023-01-03,1
CLT00024,39,Célibataire,Salarié,Occitanie,24,Multirisque Pro,Premium,Web,436.87,1,827.95,2.0,0,0,4.0,0,2023-12-26,2024-06-04,0
CLT00025,24,Marié(e),Salarié,Île-de-France,12,Assurance Auto,Essentiel,Agence,76.63,0,0.0,1.0,1,0,3.0,1,2023-06-11,2023-10-10,1
CLT00026,29,En couple,Sans emploi,Occitanie,132,Assurance Santé,Premium,Téléphone,240.49,0,0.0,1.0,2,0,4.0,0,2023-08-14,2024-04-12,0
CLT00027,56,Célibataire,Salarié,Occitanie,12,Assurance Habitation,Confort,Téléphone,54.51,4,6063.38,0.0,1,0,4.0,1,2023-11-06,2024-02-24,1
CLT00028,74,Célibataire,Salarié,Hauts-de-France,36,Assurance Santé,Confort,Téléphone,200.44,0,0.0,0.0,3,0,5.0,0,2022-03-04,2023-04-20,0
CLT00029,52,En couple,Sans emploi,Occitanie,72,Assurance Santé,Essentiel,Web,131.23,1,472.09,1.0,1,0,4.0,0,2023-04-05,2023-06-15,0
CLT00030,61,En couple,Salarié,Hauts-de-France,12,Assurance Vie,Essentiel,Courtier,53.87,1,1747.9,0.0,1,1,5.0,1,2023-03-30,2024-05-16,0
CLT00031,57,Célibataire,Indépendant,Île-de-France,156,Multirisque Pro,Essentiel,Agence,183.6,0,0.0,0.0,1,0,5.0,0,2022-06-20,2023-08-10,1
CLT00032,44,Célibataire,Indépendant,Grand Est,72,Assurance Vie,Confort,Web,81.05,0,0.0,5.0,1,0,4.0,0,2023-01-24,2023-01-26,0
CLT00033,64,Veuf/Veuve,Sans emploi,Nouvelle-Aquitaine,144,Assurance Vie,Confort,Téléphone,81.0,2,1920.64,4.0,2,0,2.0,0,2023-11-09,2024-05-10,0
CLT00034,61,En couple,Salarié,Nouvelle-Aquitaine,48,Assurance Vie,Essentiel,Web,53.79,3,6602.6,0.0,3,0,3.0,0,2023-08-17,2024-05-20,1
CLT00035,74,Célibataire,Sans emploi,Île-de-France,168,Assurance Auto,Premium,Courtier,182.81,1,1345.07,0.0,0,0,4.0,0,2023-05-04,2024-01-16,0
CLT00036,66,En couple,Salarié,PACA,60,Multirisque Pro,Essentiel,Agence,214.68,0,0.0,1.0,0,0,4.0,0,2023-09-02,2023-10-06,0
CLT00037,58,Célibataire,Sans emploi,Occitanie,72,Assurance Habitation,Confort,Agence,53.87,0,0.0,0.0,0,3,3.0,0,2022-03-25,2023-05-28,1
CLT00038,47,En couple,Fonctionnaire,Nouvelle-Aquitaine,60,Multirisque Pro,Premium,Courtier,406.29,0,0.0,1.0,2,2,1.0,1,2022-09-02,2023-05-31,1
CLT00039,31,Marié(e),Salarié,Hauts-de-France,120,Assurance Vie,Essentiel,Courtier,70.6,0,0.0,1.0,0,0,,0,2022-01-10,2023-04-24,1
CLT00040,53,En couple,Sans emploi,PACA,132,Multirisque Pro,Premium,Agence,452.13,1,1805.43,0.0,0,2,4.0,0,2022-09-29,2023-02-11,0
CLT00041,31,Marié(e),Indépendant,Bretagne,132,Assurance Santé,Essentiel,Web,110.22,0,0.0,,1,0,1.0,0,2023-03-25,2024-05-24,0
CLT00042,50,Marié(e),Salarié,Île-de-France,120,Multirisque Pro,Premium,Courtier,435.43,0,0.0,0.0,2,0,2.0,0,2022-05-18,2023-02-12,0
CLT00043,57,Marié(e),Sans emploi,Nouvelle-Aquitaine,108,Assurance Auto,Essentiel,Web,90.5,0,0.0,0.0,0,0,4.0,0,2022-08-04,2023-07-21,1
CLT00044,70,Marié(e),Salarié,Hauts-de-France,84,Assurance Habitation,Premium,Courtier,94.79,2,3546.45,0.0,2,1,5.0,0,2022-04-05,2024-01-14,0
CLT00045,41,Marié(e),Indépendant,Île-de-France,108,Assurance Vie,Confort,Agence,80.81,2,2579.53,0.0,0,0,5.0,1,2023-10-15,2024-02-26,0
