,client_id,age,situation_familiale,profession,region,anciennete_mois,produit_principal,niveau_couverture,canal_souscription,prime_mensuelle_eur,nb_sinistres_12m,montant_sinistres_eur,nb_appels_support_12m,nb_avenants_contrat,retard_paiement_nb,score_satisfaction,resiliation_anterieure,date_souscription,date_derniere_interaction,churned
count,1600,1600.0,1600,1600,1600,1600.0,1600,1600,1600,1600.0,1600.0,1600.0,1534.0,1600.0,1600.0,1536.0,1600.0,1600,1600,1600.0
unique,1600,,4,5,8,,5,3,4,,,,,,,,,655,623,
top,CLT00504,,Célibataire,Sans emploi,Bretagne,,Assurance Habitation,Confort,Téléphone,,,,,,,,,2022-07-03,2024-03-27,
freq,1,,411,350,215,,342,565,436,,,,,,,,,10,9,
mean,,47.803125,,,,90.195,,,,152.1835,0.73625,1316.2230749999999,1.1779661016949152,1.494375,0.443125,3.76171875,0.1775,,,0.24625
std,,15.392691433854612,,,,49.04268768899039,,,,98.82738742216365,1.0135719103797936,2744.916564222765,1.3034189709580786,1.1222769490388567,0.8021330128048555,1.08732378107259,0.38221074443063985,,,0.4309605746301551
min,,22.0,,,,12.0,,,,38.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0
25%,,34.0,,,,48.0,,,,79.675,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,0.0
50%,,47.0,,,,96.0,,,,119.03,0.0,0.0,1.0,1.0,0.0,4.0,0.0,,,0.0
75%,,61.25,,,,132.0,,,,203.7225,1.0,1877.3325,2.0,2.25,1.0,5.0,0.0,,,0.0
max,,74.0,,,,168.0,,,,479.83,4.0,39404.53,5.0,3.0,3.0,5.0,1.0,,,1.0
