feature,importance_mean,importance_std
score_satisfaction,0.18187433722341187,0.01405204497092282
resiliation_anterieure,0.04725032828969004,0.010990684771302637
nb_sinistres_12m,0.0376969533363301,0.013914188704625153
retard_paiement_nb,0.03664915674177831,0.022359997013639454
profession,0.012669793979761812,0.005419917398043465
anciennete_mois,0.008805262741752052,0.009878881882095625
produit_principal,0.008266286367528974,0.0033476882327713006
niveau_couverture,0.006452659056702653,0.00642202516768523
situation_familiale,0.005491976773091783,0.007518491438032568
canal_souscription,0.001966671424725258,0.0056494524808244125
nb_avenants_contrat,0.0019163014819692625,0.003065134843459563
montant_sinistres_eur,0.0014299562098479602,0.007129315283387219
client_id,0.0,0.0
date_derniere_interaction,0.0,0.0
date_souscription,0.0,0.0
nb_appels_support_12m,-0.0005554698105538602,0.005371785208941017
region,-0.0023293441171593323,0.004585043333952927
age,-0.003488526498114952,0.004309010689837666
prime_mensuelle_eur,-0.01159234591238284,0.009568269381240427
