feature,mean_abs_shap
num__score_satisfaction,0.2947497994319673
num__resiliation_anterieure,0.22720362103952496
num__retard_paiement_nb,0.18240316832177045
num__nb_sinistres_12m,0.14019414912727715
num__anciennete_mois,0.13770633666618204
num__prime_mensuelle_eur,0.11772222788713282
num__log_montant_sinistres,0.07587347716330829
num__tension_relationnelle,0.07185228032190327
cat__situation_familiale_En couple,0.06076992065883726
num__age,0.053996628085378195
num__nb_appels_support_12m,0.0539464051732312
cat__profession_Retraité,0.048020330908138585
num__support_par_sinistre_lisse,0.04672727355423898
cat__niveau_couverture_Premium,0.04513964503743896
cat__produit_principal_Assurance Habitation,0.04386682992139461
cat__canal_souscription_Web,0.04235902061009686
cat__niveau_couverture_Essentiel,0.034365562352622295
cat__situation_familiale_Marié(e),0.03196188685014576
cat__region_Occitanie,0.02938170486362533
cat__profession_Fonctionnaire,0.0263396948381437
cat__region_Bretagne,0.02473369953314016
num__missingindicator_tension_relationnelle,0.024669043948513943
num__nb_avenants_contrat,0.023972469711104123
cat__canal_souscription_Téléphone,0.019717908267259145
cat__region_Auvergne-Rhône-Alpes,0.016032323610200325
cat__profession_Salarié,0.01583877743637664
cat__situation_familiale_Veuf/Veuve,0.015769823036618162
cat__profession_Sans emploi,0.015759713004599444
cat__situation_familiale_Célibataire,0.015330464472378636
cat__region_Nouvelle-Aquitaine,0.014443616399903112
cat__produit_principal_Assurance Vie,0.014017603125644849
cat__region_Hauts-de-France,0.013426411624539942
cat__canal_souscription_Agence,0.012169362282986238
cat__canal_souscription_Courtier,0.012105901892891478
cat__niveau_couverture_Confort,0.011616399770124993
cat__region_Grand Est,0.0089996965396746
cat__produit_principal_Assurance Santé,0.008879646489662973
cat__produit_principal_Assurance Auto,0.006442648638377486
cat__produit_principal_Multirisque Pro,0.004524043761594513
num__missingindicator_score_satisfaction,0.004389381078237626
cat__profession_Indépendant,0.004294427783629433
cat__region_Île-de-France,0.002570541083297675
num__retards_x_resiliation,0.0009193932894905928
num__missingindicator_support_par_sinistre_lisse,0.000871190249857876
num__missingindicator_nb_appels_support_12m,0.000871190249857876
cat__region_PACA,0.00017327907816265853
